Q,A,label
악보 연주 해줘,연주 시작할게요!,0
악보 연주,연주 시작할게요!,1
악보 연주 좀 해줘,연주 시작할게요!,2
악보 연주 해봐,연주 시작할게요!,2
악보 틀어줘,악보 틀어드릴게요!,0
악보 틀어봐,악보 틀어드릴게요!,1
악보 좀 틀어줘,악보 틀어드릴게요!,2
악보 틀어,악보 틀어드릴게요!,2
연주시간이 얼마나 되?,사람마다 다르지만 25초~30초 연주 될 것 같아요!,0
연주시간 얼마야?,사람마다 다르지만 25초~30초 연주 될 것 같아요!,1
연주시간 말해봐,사람마다 다르지만 25초~30초 연주 될 것 같아요!,2
연주시간 예상해봐,사람마다 다르지만 25초~30초 연주 될 것 같아요!,2
표절된 부분이 어디야?,악보에 표시된 부분들이 표절이에요!,0
표절인 부분이 어디야?,악보에 표시된 부분들이 표절이에요!,0
표절 부분이 어디야?,악보에 표시된 부분들이 표절이에요!,1
표절 부분 보여줘,악보에 표시된 부분들이 표절이에요!,1
어디가 표절이야?,악보에 표시된 부분들이 표절이에요!,2
표절된 부분 수정해줘,네 수정되었어요!,0
표절 부분 수정해봐,네 수정되었어요!,1
표절 부분 고쳐봐,네 수정되었어요!,1
표절인 부분 수정해줘,네 수정되었어요!,2
표절인 부분 수정해봐,네 수정되었어요!,2
수정된 악보 연주 해줘,수정된 악보 연주 시작할게요!,0
수정된 악보 연주,수정된 악보 연주 시작할게요!,1
수정된 악보 연주 좀 해줘,수정된 악보 연주 시작할게요!,2
수정된 악보 연주 해봐,수정된 악보 연주 시작할게요!,2
수정된 악보 틀어줘,수정된 악보 틀어드릴게요!,0
수정된 악보 틀어봐,수정된 악보 틀어드릴게요!,1
수정된 악보 좀 틀어줘,수정된 악보 틀어드릴게요!,2
수정된 악보 틀어,수정된 악보 틀어드릴게요!,2
